Country,City-UTF8,City-ASCII,Population,Latitude,Longitude
RU,Kirov,Kirov,457383,58.59665,49.66007
UA,Luhansk,Luhansk,452000,48.56705,39.31706
TR,Şanlıurfa,Sanliurfa,449549,37.16708,38.79392
RU,Cheboksary,Cheboksary,446781,56.13222,47.25194
TR,Malatya,Malatya,441805,38.35018,38.31667
ES,Murcia,Murcia,436870,37.98704,-1.13004
RU,Kaliningrad,Kaliningrad,434954,54.70649,20.51095
FR,Toulouse,Toulouse,433055,43.60426,1.44367
RU,Bryansk,Bryansk,427236,53.25209,34.37167
SK,Bratislava,Bratislava,423737,48.14816,17.10674
RU,Ivanovo,Ivanovo,420839,56.99719,40.97139
TR,Erzurum,Erzurum,420691,39.90861,41.27694
UA,Sevastopol,Sevastopol,416263,44.58883,33.5224
RU,Magnitogorsk,Magnitogorsk,413351,53.41861,59.04722
RU,Kursk,Kursk,409431,51.73733,36.18735
PL,Szczecin,Szczecin,407811,53.42894,14.55302
ES,Palma,Palma,401270,39.56939,2.65024
RU,Tver,Tver,400212,56.85836,35.90057
UA,Khmelnytskyi,Khmelnytskyi,398346,49.42161,26.99653
TR,Samsun,Samsun,394050,41.27976,36.3361
EE,Tallinn,Tallinn,394024,59.43696,24.75353
TR,Batman,Batman,381990,37.88738,41.13221
ES,Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,381847,28.09973,-15.41343
RU,Nizhny Tagil,Nizhny Tagil,381116,57.91944,59.965
TR,Kahramanmaraş,Kahramanmaras,376045,37.5847,36.92641
AL,Tirana,Tirana,374801,41.3275,19.81889
LT,Kaunas,Kaunas,374643,54.90272,23.90961
GB,Stoke-on-Trent,Stoke-on-Trent,372775,53.00415,-2.18538
TR,Van,Van,371713,38.49457,43.38323
CZ,Brno,Brno,369559,49.19522,16.60796
BY,Mahilyow,Mahilyow,369200,53.9168,30.3449
PL,Bydgoszcz,Bydgoszcz,366452,53.1235,18.00762
IT,Bologna,Bologna,366133,44.49381,11.33875
RU,Stavropol’,Stavropol',363064,45.0428,41.9734
PL,Lublin,Lublin,360044,51.25,22.56667
RU,Arkhangel’sk,Arkhangel'sk,356051,64.5401,40.5433
ES,Bilbao,Bilbao,354860,43.26271,-2.92528
GR,Thessaloníki,Thessaloniki,354290,40.64361,22.93086
UA,Vinnytsia,Vinnytsia,352115,49.23278,28.48097
IT,Florence,Florence,349296,43.77925,11.24626
RU,Belgorod,Belgorod,345289,50.61074,36.58015
BY,Vitebsk,Vitebsk,342700,55.1904,30.2049
CH,Zürich,Zurich,341730,47.36667,8.55
BG,Plovdiv,Plovdiv,340494,42.15,24.75
RU,Kaluga,Kaluga,338978,54.5293,36.27542
FR,Nice,Nice,338620,43.70313,7.26608
UA,Simferopol,Simferopol,336460,44.95719,34.11079
GB,Sunderland,Sunderland,335415,54.90465,-1.38222
ES,Alicante,Alicante,334757,38.34517,-0.48149
DE,Bielefeld,Bielefeld,331906,52.03333,8.53333
ES,Córdoba,Cordoba,328428,37.89155,-4.77275
RU,Sochi,Sochi,327608,43.59917,39.72569
RU,Orël,Orel,324200,52.96508,36.07849
RU,Smolensk,Smolensk,320991,54.7818,32.0401
UA,Kherson,Kherson,320477,46.65581,32.6178
RU,Murmansk,Murmansk,319263,68.97917,33.09251
GB,Reading,Reading,318014,51.45625,-0.97113
RO,Iaşi,Iasi,318012,47.16667,27.6
ES,Valladolid,Valladolid,317864,41.65518,-4.72372
UA,Poltava,Poltava,317847,49.59373,34.54073
RU,Vladikavkaz,Vladikavkaz,317370,43.03667,44.66778
BY,Hrodna,Hrodna,317365,53.6884,23.8258
PL,Katowice,Katowice,317316,50.25841,19.02754
RO,Cluj-Napoca,Cluj-Napoca,316748,46.76667,23.6
RU,Cherepovets,Cherepovets,315738,59.13333,37.9
RO,Timişoara,Timisoara,315053,45.75372,21.22571
RU,Vologda,Vologda,314900,59.2239,39.88398
GB,Kingston upon Hull,Kingston upon Hull,314018,53.7446,-0.33525
TR,Denizli,Denizli,313238,37.77417,29.0875
CZ,Ostrava,Ostrava,313088,49.83465,18.28204
BG,Varna,Varna,312770,43.21667,27.91667
RU,Vladimir,Vladimir,310024,56.13655,40.39658
DE,Mannheim,Mannheim,307960,49.4891,8.46694
UA,Chernihiv,Chernihiv,307684,51.50551,31.28487
RO,Craiova,Craiova,304142,44.31667,23.8
RO,Constanţa,Constanta,303399,44.18073,28.63432
RU,Saransk,Saransk,303394,54.1838,45.1749
BY,Brest,Brest,300715,52.09755,23.68775
GB,Swansea,Swansea,300352,51.62079,-3.94323
TR,Elazığ,Elazig,298004,38.67431,39.22321
UA,Cherkasy,Cherkasy,297568,49.42854,32.06207
ES,Vigo,Vigo,297332,42.23282,-8.72264
GB,Southend-on-Sea,Southend-on-Sea,295310,51.53782,0.71433
UA,Sumy,Sumy,294456,50.9216,34.80029
RO,Galaţi,Galati,294087,45.45,28.05
PL,Białystok,Bialystok,291855,53.13333,23.16433
RU,Tambov,Tambov,290933,52.73169,41.44326
IT,Catania,Catania,290927,37.49223,15.07041
TR,Adapazarı,Adapazari,286787,40.78056,30.40333
DE,Karlsruhe,Karlsruhe,283799,49.00937,8.40444
UA,Zhytomyr,Zhytomyr,282192,50.26487,28.67669
RU,Yoshkar-Ola,Yoshkar-Ola,279100,56.63877,47.89078
RU,Taganrog,Taganrog,279056,47.23617,38.89688
RU,Kostroma,Kostroma,277656,57.76647,40.92686
ES,Gijón,Gijon,277554,43.53573,-5.66152
IT,Bari,Bari,277387,41.11148,16.8554
FR,Nantes,Nantes,277269,47.21725,-1.55336
RO,Braşov,Brasov,276088,45.64861,25.60613
FR,Strasbourg,Strasbourg,274845,48.58392,7.74553
GB,Belfast,Belfast,274770,54.59682,-5.92541
RU,Nal’chik,Nal'chik,272800,43.49806,43.61889
SI,Ljubljana,Ljubljana,272220,46.05108,14.50513
DE,Münster,Muenster,270184,51.96236,7.62571
RU,Sterlitamak,Sterlitamak,267231,53.62462,55.95015
DE,Aachen,Aachen,265208,50.77664,6.08342
RU,Petrozavodsk,Petrozavodsk,265025,61.78491,34.34691
TR,Sivas,Sivas,264022,39.74833,37.01611
GB,Plymouth,Plymouth,260203,50.37153,-4.14305
DE,Augsburg,Augsburg,259196,48.37154,10.89851
UA,Rivne,Rivne,255106,50.62308,26.22743
PT,Porto,Porto,249633,41.14961,-8.61099
UA,Kropyvnytskyi,Kropyvnytskyi,249454,48.5132,32.2597
FR,Montpellier,Montpellier,248252,43.61092,3.87723
PL,Częstochowa,Czestochowa,248125,50.79646,19.12409
DE,Chemnitz,Chemnitz,247220,50.8357,12.92922
RU,Orsk,Orsk,246836,51.20487,58.56685
GB,Southampton,Southampton,246201,50.90395,-1.40428
ES,A Coruña,A Coruna,246056,43.37135,-8.396
DE,Braunschweig,Braunschweig,244715,52.26594,10.52673
TR,Trabzon,Trabzon,244083,41.005,39.72694
